hash,id,fecha_vencimiento,divisa,nombre_cliente,fecha_emision,importe,concepto
"fsabv-2358##holaluz - clidom, s.a.",fsabv-2358,2022-11-01,EUR,"holaluz - clidom, s.a.",2022-10-01,"-9,2",luz sep 2022 of. vig (contador: 155230830)
fsabv-2361##pepemobile sl,fsabv-2361,2022-10-01,EUR,pepemobile sl,2022-10-01,"-7,78",cuota fibra sep 2022 + consumo movil sep 2022 -
fsabv-2489##pepemobile sl,fsabv-2489,2022-11-01,EUR,pepemobile sl,2022-11-01,"-7,78",cuota fibra oct 2022 + consumo movil oct 2022 -  ()
fsabv-2632##pepemobile sl,fsabv-2632,2022-12-01,EUR,pepemobile sl,2022-12-01,"-7,78",cuota fibra nov 2022 + consumo movil nov 2022
fsabv-2365##telefonica de espana s.a.u.,fsabv-2365,2022-10-01,EUR,telefonica de espana s.a.u.,2022-10-01,"-7,6",tarifa o2 fibra sep 2022
fsabv-2495##telefonica de espana s.a.u.,fsabv-2495,2022-11-01,EUR,telefonica de espana s.a.u.,2022-11-01,"-7,6",tarifa o2 fibra oct 2022
fsabv-2635##telefonica de espana s.a.u.,fsabv-2635,2022-12-01,EUR,telefonica de espana s.a.u.,2022-12-01,"-7,6",tarifa o2 fibra nov 2022
"fsabv-2491##holaluz - clidom, s.a.",fsabv-2491,2022-12-01,EUR,"holaluz - clidom, s.a.",2022-11-01,"-7,58",luz oct 2022 of. vig (contador: 175631337)
fsabv-2424##sv internet s.l,fsabv-2424,2022-11-21,EUR,sv internet s.l,2022-10-20,"-7,26",hosting base de datos sql server (150mb) ba0630 (20/10/2022-19/11/2022)
fsabv-2531##sv internet s.l,fsabv-2531,2022-12-20,EUR,sv internet s.l,2022-11-20,"-7,26",hosting base de datos sql server (150mb) ba0630 (20/11/2022-19/12/2022)
fsabv-2695##sv internet s.l,fsabv-2695,2023-01-20,EUR,sv internet s.l,2022-12-20,"-7,26",hosting base de datos sql server (150mb) ba0630 (20/12/2022-19/01/2023)
"fsabv-2290##lyreco espana, sa",fsabv-2290,2022-11-30,EUR,"lyreco espana, sa",2022-09-30,"-5,85",material oficina mad
"fsabv-2521##29 ecologica, s.l.u.",fsabv-2521,2023-02-15,EUR,"29 ecologica, s.l.u.",2022-11-15,"-5,5",kilos de carton
"fsabv-2357##holaluz - clidom, s.a.",fsabv-2357,2022-11-01,EUR,"holaluz - clidom, s.a.",2022-10-01,"-5,14",luz sep 2022 of. vig (contador: 175631337)
"fsabv-2692##29 ecologica, s.l.u.",fsabv-2692,2023-03-20,EUR,"29 ecologica, s.l.u.",2022-12-20,"-4,4",kilos de carton
"fsabv-2374##morpheus aiolos, s.l.",fsabv-2374,2022-10-04,EUR,"morpheus aiolos, s.l.",2022-10-04,"-4,22",app afterbanks oct 2022
"fsabv-2386##29 ecologica, s.l.u.",fsabv-2386,2023-01-11,EUR,"29 ecologica, s.l.u.",2022-10-11,"-3,85",kilos de carton
fsabv-2391##sv internet s.l,fsabv-2391,2022-11-14,EUR,sv internet s.l,2022-10-13,"-3,63",filtro antivirus/antispam avanzado (13/10/2022-12/01/2023)
